image,fingertip_id,x,y,z
FT_L_hand_13.8cm.jpg,4,0.6133054494857788,0.3940556049346924,-0.024287095293402672
FT_L_hand_13.8cm.jpg,8,0.6480979323387146,0.2815992832183838,-0.0230479147285223
FT_L_hand_13.8cm.jpg,12,0.6715580224990845,0.29317912459373474,-0.0221543051302433
FT_L_hand_13.8cm.jpg,16,0.6861203908920288,0.29982152581214905,-0.02396208420395851
FT_L_hand_13.8cm.jpg,20,0.7007313370704651,0.3343212604522705,-0.02415536530315876
FT_L_hand_13.8cm.jpg,4,0.379761666059494,0.39983734488487244,-0.03006894886493683
FT_L_hand_13.8cm.jpg,8,0.3329918086528778,0.28062835335731506,-0.027385162189602852
FT_L_hand_13.8cm.jpg,12,0.3057105541229248,0.2833377420902252,-0.02542925998568535
FT_L_hand_13.8cm.jpg,16,0.2921760082244873,0.30738121271133423,-0.02565576136112213
FT_L_hand_13.8cm.jpg,20,0.2832324206829071,0.3469473719596863,-0.02428513951599598
FT-L-hand-10cm.jpg,4,0.35699906945228577,0.38234084844589233,-0.025285882875323296
FT-L-hand-10cm.jpg,8,0.3150349259376526,0.3104757070541382,-0.0259969811886549
FT-L-hand-10cm.jpg,12,0.29181787371635437,0.31500014662742615,-0.023968406021595
FT-L-hand-10cm.jpg,16,0.2821435332298279,0.3394754230976105,-0.025852276012301445
FT-L-hand-10cm.jpg,20,0.2757544219493866,0.3754115104675293,-0.02514081820845604
FT-L-hand-10cm.jpg,4,0.6210846304893494,0.38847124576568604,-0.023162126541137695
FT-L-hand-10cm.jpg,8,0.6558270454406738,0.30826157331466675,-0.021276414394378662
FT-L-hand-10cm.jpg,12,0.6770973205566406,0.3143886923789978,-0.019708624109625816
FT-L-hand-10cm.jpg,16,0.687111496925354,0.3355635404586792,-0.022275056689977646
FT-L-hand-10cm.jpg,20,0.6980888247489929,0.3682093024253845,-0.023035021498799324
FT_L_hand12.1cm.jpg,4,0.6009214520454407,0.4293515682220459,-0.03149236738681793
FT_L_hand12.1cm.jpg,8,0.6387861967086792,0.32273930311203003,-0.027960767969489098
FT_L_hand12.1cm.jpg,12,0.6468165516853333,0.39642202854156494,-0.027923371642827988
FT_L_hand12.1cm.jpg,16,0.6565561294555664,0.40618962049484253,-0.02289983630180359
FT_L_hand12.1cm.jpg,20,0.6825084686279297,0.38595521450042725,-0.024265281856060028
FT_L_hand12.1cm.jpg,4,0.384123831987381,0.4224824607372284,-0.029334206134080887
FT_L_hand12.1cm.jpg,8,0.342426598072052,0.31692788004875183,-0.025611672550439835
FT_L_hand12.1cm.jpg,12,0.34038397669792175,0.4046388566493988,-0.0272964034229517
FT_L_hand12.1cm.jpg,16,0.33137282729148865,0.43167003989219666,-0.02162417583167553
FT_L_hand12.1cm.jpg,20,0.3197442293167114,0.4314277768135071,-0.01890495792031288
FT_L_hand_6cm.jpg,4,0.6310975551605225,0.3903985321521759,-0.022059138864278793
FT_L_hand_6cm.jpg,8,0.6547790169715881,0.347260057926178,-0.020793041214346886
FT_L_hand_6cm.jpg,12,0.6659723520278931,0.3646767735481262,-0.01999872736632824
FT_L_hand_6cm.jpg,16,0.6754698753356934,0.38069260120391846,-0.01733751781284809
FT_L_hand_6cm.jpg,20,0.6872864961624146,0.3996717631816864,-0.018904956057667732
FT_L_hand_6cm.jpg,4,0.3450165390968323,0.389585018157959,-0.018589647486805916
FT_L_hand_6cm.jpg,8,0.32043078541755676,0.3491562008857727,-0.02100781910121441
FT_L_hand_6cm.jpg,12,0.3066229820251465,0.36235469579696655,-0.01972114108502865
FT_L_hand_6cm.jpg,16,0.2990921437740326,0.3827626407146454,-0.019107636064291
FT_L_hand_6cm.jpg,20,0.2914327085018158,0.4042706787586212,-0.01904614269733429
FT_L_hand_5cm.jpg,4,0.6140209436416626,0.3849697411060333,-0.012816650792956352
FT_L_hand_5cm.jpg,8,0.6277629733085632,0.3567810654640198,-0.01130679901689291
FT_L_hand_5cm.jpg,12,0.6409701108932495,0.3731364607810974,-0.011126910336315632
FT_L_hand_5cm.jpg,16,0.6554273366928101,0.37332457304000854,-0.010703017935156822
FT_L_hand_5cm.jpg,20,0.67293781042099,0.38733649253845215,-0.01354388240724802
FT_L_hand_5cm.jpg,4,0.3718074560165405,0.379239946603775,-0.014931690879166126
FT_L_hand_5cm.jpg,8,0.35720428824424744,0.3496808111667633,-0.018096085637807846
FT_L_hand_5cm.jpg,12,0.34240564703941345,0.3807491660118103,-0.01962815225124359
FT_L_hand_5cm.jpg,16,0.332613080739975,0.3890892267227173,-0.016790876165032387
FT_L_hand_5cm.jpg,20,0.31605660915374756,0.389731228351593,-0.016658391803503036
